"WATERBODYC,N,9,0","LOCNAME_EN,C,254","LATITUDE,N,19,11","LONGITUDE,N,19,11","GUIDELOC_E,C,254","URL_EN,C,254","SPECIES_EN,C,254"
42458035,Deer Creek Reservoir,42.70638889,-80.56305556,Haldimand-Norfolk R.M.,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42458035.html,-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-BROWN_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-
42468059,Aylmer Police College Ponds,42.80222222,-80.94305556,"Malahide Twp., Elgin Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42468059.html,-COMMON_CARP-
42478030,Big Creek,42.82,-80.50777778,"south of Delhi, Haldimand-Norfolk R. M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42478030.html,-BROOK_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-
42508018,Lynn River,42.84138889,-80.30611111,"Crystal Lake, Haldimand-Norfolk R. M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42508018.html,-COMMON_CARP-
42508020,Lynn River,42.82333333,-80.28722222,Haldimand-Norfolk R.M.,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42508020.html,-BROWN_TROUT-WHITE_SUCKER-ROCK_BASS-
42518030,Delhi Reservoir,42.8525,-80.51527778,"Middleton Twp., Haldimand-Norfolk R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42518030.html,-PUMPKINSEED-BLUEGILL-
42528044,Lake Lisgar,42.86888889,-80.73166667,"Tillsonburg, Dereham Twp., Oxford Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42528044.html,-WHITE_SUCKER-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42537935,Grand River,42.88444444,-79.58222222,below Dunnville Dam to Port Maitland,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42537935.html,-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-RAINBOW_TROUT-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42538226,Lake Erie 7b - Middle St. Clair River,42.82638889,-82.47527778,from Ethyl Corp./Stag Island to just north of Lambton Generating Station,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42538226.html,-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
42548057,Lake Whittaker,42.91361111,-80.95916667,"North Dorchester Twp., Middlesex Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42548057.html,-RAINBOW_TROUT-WHITE_SUCKER-COMMON_CARP-BLUEGILL-LARGEMOUTH_BASS-
42557918,Wainfleet Marsh,42.91305556,-79.31944444,"Wainfleet Twp., Niagara R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42557918.html,-COMMON_CARP-
42567904,Black Creek,42.96194444,-79.02222222,"Willoughby Twp., Niagara R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42567904.html,-COMMON_CARP-
42568019,Waterford Lakes,42.93111111,-80.31527778,"Townsend Twp., Haldimand-Norfolk R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42568019.html,-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42568111,Westminster Ponds,42.94916667,-81.21777778,"South Pond, City of London",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42568111.html,-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42568118,Thames River,42.94722222,-81.40416667,below Springbank Dam to Delaware,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42568118.html,-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-WALLEYE-
42577857,Lake Ontario 1a - Upper Niagara River,43.0225,-79.02277778,Canadian waters from Fort Erie to above the falls,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42577857.html,-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-WHITE_PERCH-WHITE_BASS-ROCK_BASS-RAINBOW_TROUT-RAINBOW_SMELT-PUMPKINSEED-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-FRESHWATER_DRUM-
42587912,Lyons Creek,42.98,-79.20555556,"at Hwy. 140, Niagara R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42587912.html,-BOWFIN-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42597911,Lyons Creek,42.99583333,-79.17805556,"Cooks Mills, Niagara R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42597911.html,-WHITE_SUCKER-BROWN_BULLHEAD-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-
42597933,Oswego Creek,51.13722222,-90.11777778,"Wellandport to Oswego, Wainfleet Twp.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42597933.html,-COMMON_CARP-
42597934,Welland River,42.99833333,-79.57194444,Binbrook Reservoir to Port Davidson,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42597934.html,-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-ROCK_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-
42598058,Thames River,43.05861111,-80.99416667,Middle Branch below Thamesford Dam to South Thames Branch,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42598058.html,-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-
42598111,Thames River,42.97083333,-81.18305556,below Dorchester to North Thames River (Pottersburg Creek),http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42598111.html,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-
42598114,Thames River,43.00666667,-81.26833333,below Fanshawe Dam to above Springbank Dam,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42598114.html,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-
42598224,Lake Erie 7a - Upper St. Clair River,42.95861111,-82.42194444,from Lake Huron to just north of Ethyl Corp.,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42598224.html,-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-GIZZARD_SHAD-BROWN_BULLHEAD-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
43007925,Welland River,43.00305556,-79.41666667,Port Davidson to upstream of Old Welland Canal,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43007925.html,-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-NORTHERN_PIKE-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-
43017913,Old Welland Canal,42.93611111,-79.24638889,Port Colborne to Dain City,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43017913.html,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-BLACK_CRAPPIE-FRESHWATER_DRUM-
43017914,Welland River,43.01055556,-79.23638889,downstream of Old Welland Canal to upstream of Welland Canal,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43017914.html,-NORTHERN_PIKE-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
43017916,Miller Creek,42.95472222,-78.97583333,"Bertie Twp., Niagara R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43017916.html,-COMMON_CARP-
43018001,Boston Creek,43.01638889,-80.01666667,"Oneida Twp., Haldimand-Norfolk R.M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43018001.html,-ROCK_BASS-
43018013,McKenzie Creek,43.01944444,-80.2075,"Tuscarora Twp., Brant Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE43018013.html,-WHITE_SUCKER-WHITE_CRAPPIE-
